Ticket_ID,Open_Time,First_Response_Time,Close_Time,Agent,CSAT,NPS,Escalated,Resolved_On_First_Contact,Response_Time,Handling_Time,CSAT_Category,NPS_Category
TCKT22,2024-09-02,2024-10-30 23:00:00,2024-09-16 17:00:00,Charlie,1,7,0,1,1415.0,353.0,Poor,Passives
TCKT23,2024-09-24,2024-10-12 19:00:00,2024-09-24 13:00:00,Alice,1,9,0,1,451.0,13.0,Poor,Promoters
TCKT24,2024-10-14,2024-09-17 05:00:00,2024-09-20 05:00:00,Alice,5,2,1,0,-643.0,-571.0,Excellent,Detractors
TCKT25,2024-09-30,2024-09-29 04:00:00,2024-10-03 12:00:00,Alice,1,10,0,1,-20.0,84.0,Poor,Promoters
TCKT26,2024-10-08,2024-09-10 17:00:00,2024-09-02 23:00:00,Alice,4,5,0,0,-655.0,-841.0,Good,Detractors
TCKT27,2024-09-02,2024-09-10 17:00:00,2024-10-08 08:00:00,David,5,10,0,1,209.0,872.0,Excellent,Promoters
TCKT28,2024-10-30,2024-10-30 20:00:00,2024-09-14 08:00:00,David,3,4,0,0,20.0,-1096.0,Fair,Detractors
TCKT29,2024-09-21,2024-09-24 05:00:00,2024-10-28 23:00:00,Eve,1,6,1,0,77.0,911.0,Poor,Detractors
TCKT30,2024-10-03,2024-10-04 06:00:00,2024-10-14 01:00:00,Charlie,2,6,0,1,30.0,265.0,Poor,Detractors
TCKT31,2024-09-12,2024-10-23 02:00:00,2024-10-16 19:00:00,Charlie,1,2,1,1,986.0,835.0,Poor,Detractors
TCKT32,2024-10-28,2024-09-13 11:00:00,2024-09-25 03:00:00,Bob,3,2,0,0,-1069.0,-789.0,Fair,Detractors
TCKT33,2024-09-22,2024-10-13 16:00:00,2024-09-25 17:00:00,Eve,5,4,1,0,520.0,89.0,Excellent,Detractors
TCKT34,2024-10-14,2024-09-11 19:00:00,2024-09-06 20:00:00,David,3,1,0,1,-773.0,-892.0,Fair,Detractors
TCKT35,2024-09-25,2024-10-17 23:00:00,2024-09-22 08:00:00,Eve,2,9,1,0,551.0,-64.0,Poor,Promoters
TCKT36,2024-10-19,2024-10-25 16:00:00,2024-10-29 14:00:00,David,4,7,1,1,160.0,254.0,Good,Passives
TCKT37,2024-09-27,2024-10-01 11:00:00,2024-10-07 11:00:00,Alice,1,7,1,1,107.0,251.0,Poor,Passives
TCKT38,2024-10-29,2024-10-24 16:00:00,2024-10-23 15:00:00,Eve,5,3,0,1,-104.0,-129.0,Excellent,Detractors
TCKT39,2024-10-12,2024-09-08 04:00:00,2024-09-20 07:00:00,Charlie,4,3,1,1,-812.0,-521.0,Good,Detractors
TCKT40,2024-09-28,2024-10-10 04:00:00,2024-10-22 19:00:00,Bob,3,1,1,1,292.0,595.0,Fair,Detractors
TCKT41,2024-10-30,2024-10-26 03:00:00,2024-10-14 05:00:00,Bob,5,3,0,1,-93.0,-379.0,Excellent,Detractors
TCKT42,2024-09-16,2024-10-02 03:00:00,2024-09-06 22:00:00,Alice,4,3,0,1,387.0,-218.0,Good,Detractors
TCKT43,2024-09-15,2024-09-27 18:00:00,2024-10-03 08:00:00,Charlie,5,4,1,0,306.0,440.0,Excellent,Detractors
TCKT44,2024-10-17,2024-10-28 19:00:00,2024-09-11 06:00:00,Alice,2,4,0,0,283.0,-858.0,Poor,Detractors
TCKT45,2024-10-21,2024-09-19 21:00:00,2024-10-18 16:00:00,Eve,2,3,0,0,-747.0,-56.0,Poor,Detractors
TCKT46,2024-10-14,2024-09-05 18:00:00,2024-09-29 17:00:00,Eve,1,10,1,1,-918.0,-343.0,Poor,Promoters
TCKT47,2024-10-25,2024-09-28 10:00:00,2024-10-02 08:00:00,Alice,1,8,0,1,-638.0,-544.0,Poor,Passives
TCKT48,2024-10-22,2024-09-22 21:00:00,2024-10-11 09:00:00,David,2,8,1,0,-699.0,-255.0,Poor,Passives
TCKT49,2024-10-27,2024-09-06 01:00:00,2024-09-03 15:00:00,Bob,5,1,1,1,-1223.0,-1281.0,Excellent,Detractors
TCKT50,2024-09-03,2024-09-05 09:00:00,2024-10-21 03:00:00,Eve,2,7,1,0,57.0,1155.0,Poor,Passives
TCKT51,2024-10-07,2024-09-12 14:00:00,2024-10-20 04:00:00,Alice,1,2,0,0,-586.0,316.0,Poor,Detractors
TCKT52,2024-10-21,2024-10-04 17:00:00,2024-09-05 14:00:00,Alice,2,1,0,1,-391.0,-1090.0,Poor,Detractors
TCKT53,2024-09-07,2024-09-14 13:00:00,2024-10-12 09:00:00,Alice,2,3,1,0,181.0,849.0,Poor,Detractors
TCKT54,2024-09-21,2024-09-27 09:00:00,2024-09-26 23:00:00,Eve,5,4,0,0,153.0,143.0,Excellent,Detractors
TCKT55,2024-09-09,2024-09-26 15:00:00,2024-10-21 10:00:00,Bob,4,6,0,0,423.0,1018.0,Good,Detractors
TCKT56,2024-10-09,2024-10-27 22:00:00,2024-09-22 04:00:00,David,1,10,0,0,454.0,-404.0,Poor,Promoters
TCKT57,2024-09-18,2024-10-17 11:00:00,2024-09-13 08:00:00,Alice,5,5,1,0,707.0,-112.0,Excellent,Detractors
TCKT58,2024-09-04,2024-10-18 17:00:00,2024-09-03 22:00:00,Bob,2,4,1,1,1073.0,-2.0,Poor,Detractors
TCKT59,2024-09-25,2024-09-26 04:00:00,2024-09-14 21:00:00,Alice,2,8,1,1,28.0,-243.0,Poor,Passives
TCKT60,2024-10-30,2024-09-01 08:00:00,2024-10-03 16:00:00,Alice,4,4,1,0,-1408.0,-632.0,Good,Detractors
TCKT61,2024-09-14,2024-10-19 03:00:00,2024-10-03 02:00:00,Alice,1,10,1,0,843.0,458.0,Poor,Promoters
TCKT62,2024-10-20,2024-10-22 15:00:00,2024-09-12 10:00:00,Bob,1,2,1,1,63.0,-902.0,Poor,Detractors
TCKT63,2024-10-28,2024-10-17 22:00:00,2024-09-16 17:00:00,David,3,3,0,1,-242.0,-991.0,Fair,Detractors
TCKT64,2024-09-09,2024-09-14 23:00:00,2024-10-11 18:00:00,David,1,6,1,1,143.0,786.0,Poor,Detractors
TCKT65,2024-09-26,2024-09-14 02:00:00,2024-10-26 09:00:00,Alice,4,8,0,0,-286.0,729.0,Good,Passives
TCKT66,2024-10-23,2024-10-15 14:00:00,2024-09-26 08:00:00,Eve,3,8,0,0,-178.0,-640.0,Fair,Passives
TCKT67,2024-09-02,2024-10-29 19:00:00,2024-10-30 14:00:00,Charlie,3,9,0,0,1387.0,1406.0,Fair,Promoters
TCKT68,2024-09-20,2024-09-07 03:00:00,2024-10-29 18:00:00,Eve,2,7,0,0,-309.0,954.0,Poor,Passives
TCKT69,2024-09-28,2024-10-17 23:00:00,2024-09-23 20:00:00,Eve,2,2,1,0,479.0,-100.0,Poor,Detractors
TCKT70,2024-10-17,2024-10-16 11:00:00,2024-10-01 20:00:00,Alice,1,8,0,1,-13.0,-364.0,Poor,Passives
TCKT71,2024-10-30,2024-10-17 13:00:00,2024-09-22 12:00:00,David,3,7,1,1,-299.0,-900.0,Fair,Passives
TCKT72,2024-09-07,2024-09-18 06:00:00,2024-10-03 19:00:00,Alice,2,8,1,1,270.0,643.0,Poor,Passives
TCKT73,2024-10-14,2024-10-05 19:00:00,2024-10-17 17:00:00,Alice,4,3,0,0,-197.0,89.0,Good,Detractors
TCKT74,2024-09-08,2024-09-15 23:00:00,2024-10-27 21:00:00,Eve,2,7,0,1,191.0,1197.0,Poor,Passives
TCKT75,2024-10-17,2024-10-07 10:00:00,2024-10-06 23:00:00,Alice,2,10,1,0,-230.0,-241.0,Poor,Promoters
TCKT76,2024-10-05,2024-10-09 17:00:00,2024-10-10 17:00:00,Charlie,3,9,1,0,113.0,137.0,Fair,Promoters
TCKT77,2024-09-14,2024-10-09 22:00:00,2024-09-13 09:00:00,Alice,3,3,1,0,622.0,-15.0,Fair,Detractors
TCKT78,2024-09-17,2024-09-26 12:00:00,2024-10-18 18:00:00,Alice,5,10,1,0,228.0,762.0,Excellent,Promoters
TCKT79,2024-10-06,2024-09-25 17:00:00,2024-09-22 13:00:00,Bob,4,6,1,1,-247.0,-323.0,Good,Detractors
TCKT80,2024-10-20,2024-09-13 20:00:00,2024-09-22 08:00:00,Eve,3,2,1,1,-868.0,-664.0,Fair,Detractors
TCKT81,2024-10-10,2024-09-25 04:00:00,2024-10-17 08:00:00,David,1,2,0,1,-356.0,176.0,Poor,Detractors
TCKT82,2024-09-04,2024-09-10 03:00:00,2024-10-17 07:00:00,Charlie,4,5,1,1,147.0,1039.0,Good,Detractors
TCKT83,2024-09-02,2024-10-11 13:00:00,2024-09-24 12:00:00,David,4,5,1,1,949.0,540.0,Good,Detractors
TCKT84,2024-09-06,2024-09-18 15:00:00,2024-10-03 11:00:00,Bob,3,7,1,1,303.0,659.0,Fair,Passives
TCKT85,2024-10-24,2024-10-06 15:00:00,2024-09-23 22:00:00,Charlie,4,2,0,1,-417.0,-722.0,Good,Detractors
TCKT86,2024-10-12,2024-09-22 02:00:00,2024-10-14 22:00:00,David,3,7,0,1,-478.0,70.0,Fair,Passives
TCKT87,2024-09-04,2024-10-17 08:00:00,2024-09-29 13:00:00,Charlie,2,5,0,0,1040.0,613.0,Poor,Detractors
TCKT88,2024-10-24,2024-10-10 17:00:00,2024-09-19 02:00:00,David,5,6,0,1,-319.0,-838.0,Excellent,Detractors
TCKT89,2024-09-29,2024-10-14 19:00:00,2024-09-30 21:00:00,David,2,8,1,1,379.0,45.0,Poor,Passives
TCKT90,2024-09-18,2024-10-12 09:00:00,2024-09-16 20:00:00,Alice,3,10,0,1,585.0,-28.0,Fair,Promoters
TCKT91,2024-09-26,2024-10-07 06:00:00,2024-09-28 18:00:00,Alice,3,4,0,0,270.0,66.0,Fair,Detractors
TCKT92,2024-10-14,2024-10-22 02:00:00,2024-10-02 15:00:00,Bob,2,7,1,1,194.0,-273.0,Poor,Passives
TCKT93,2024-10-04,2024-10-29 13:00:00,2024-10-22 23:00:00,Eve,1,6,0,0,613.0,455.0,Poor,Detractors
TCKT94,2024-09-10,2024-09-06 05:00:00,2024-09-25 12:00:00,Alice,1,10,0,0,-91.0,372.0,Poor,Promoters
TCKT95,2024-10-06,2024-10-27 01:00:00,2024-09-14 22:00:00,Charlie,1,2,0,1,505.0,-506.0,Poor,Detractors
TCKT96,2024-09-14,2024-10-23 22:00:00,2024-10-14 05:00:00,Charlie,3,8,0,0,958.0,725.0,Fair,Passives
TCKT97,2024-10-01,2024-09-21 06:00:00,2024-10-04 03:00:00,David,4,10,1,1,-234.0,75.0,Good,Promoters
TCKT98,2024-10-18,2024-09-06 23:00:00,2024-10-25 19:00:00,Eve,3,9,1,1,-985.0,187.0,Fair,Promoters
TCKT99,2024-09-15,2024-10-18 04:00:00,2024-09-24 07:00:00,Eve,4,5,0,0,796.0,223.0,Good,Detractors
TCKT100,2024-09-08,2024-09-30 11:00:00,2024-10-15 15:00:00,Eve,2,10,0,0,539.0,903.0,Poor,Promoters
TCKT101,2024-09-14,2024-09-30 23:00:00,2024-09-26 05:00:00,Eve,5,4,0,1,407.0,293.0,Excellent,Detractors
TCKT102,2024-09-23,2024-09-09 23:00:00,2024-10-18 08:00:00,Alice,4,6,1,1,-313.0,608.0,Good,Detractors
TCKT103,2024-10-30,2024-09-03 19:00:00,2024-10-13 16:00:00,Bob,1,8,0,0,-1349.0,-392.0,Poor,Passives
TCKT104,2024-10-27,2024-10-01 08:00:00,2024-09-09 01:00:00,David,3,3,1,0,-616.0,-1151.0,Fair,Detractors
TCKT105,2024-10-10,2024-10-07 04:00:00,2024-10-15 05:00:00,Eve,2,10,0,1,-68.0,125.0,Poor,Promoters
TCKT106,2024-09-21,2024-09-24 06:00:00,2024-09-04 01:00:00,Alice,1,1,1,0,78.0,-407.0,Poor,Detractors
TCKT107,2024-09-16,2024-09-02 20:00:00,2024-09-05 08:00:00,Alice,2,4,0,0,-316.0,-256.0,Poor,Detractors
TCKT108,2024-10-15,2024-09-28 11:00:00,2024-10-06 10:00:00,Eve,5,4,0,0,-397.0,-206.0,Excellent,Detractors
TCKT109,2024-09-18,2024-09-04 15:00:00,2024-10-05 11:00:00,Charlie,3,1,1,1,-321.0,419.0,Fair,Detractors
TCKT110,2024-10-17,2024-09-06 22:00:00,2024-09-26 10:00:00,Charlie,3,9,1,1,-962.0,-494.0,Fair,Promoters
TCKT111,2024-10-23,2024-10-19 06:00:00,2024-09-22 14:00:00,Charlie,5,3,0,1,-90.0,-730.0,Excellent,Detractors
TCKT112,2024-09-24,2024-10-21 02:00:00,2024-10-10 02:00:00,Charlie,3,5,0,1,650.0,386.0,Fair,Detractors
TCKT113,2024-09-26,2024-09-15 11:00:00,2024-10-12 16:00:00,David,4,6,1,1,-253.0,400.0,Good,Detractors
TCKT114,2024-09-25,2024-09-08 19:00:00,2024-09-14 09:00:00,Bob,2,8,0,1,-389.0,-255.0,Poor,Passives
TCKT115,2024-10-30,2024-10-15 12:00:00,2024-10-23 04:00:00,Bob,1,6,1,0,-348.0,-164.0,Poor,Detractors
TCKT116,2024-10-30,2024-09-05 06:00:00,2024-09-23 10:00:00,David,5,3,0,0,-1314.0,-878.0,Excellent,Detractors
TCKT117,2024-10-30,2024-09-26 22:00:00,2024-09-27 22:00:00,Eve,4,6,1,0,-794.0,-770.0,Good,Detractors
TCKT118,2024-10-15,2024-09-04 19:00:00,2024-09-13 17:00:00,Bob,1,1,1,0,-965.0,-751.0,Poor,Detractors
TCKT119,2024-10-11,2024-09-20 01:00:00,2024-09-15 14:00:00,Charlie,1,4,1,1,-503.0,-610.0,Poor,Detractors
TCKT120,2024-09-29,2024-09-20 17:00:00,2024-10-28 02:00:00,Alice,5,6,0,0,-199.0,698.0,Excellent,Detractors
TCKT121,2024-09-15,2024-09-12 15:00:00,2024-10-24 20:00:00,Bob,4,7,0,1,-57.0,956.0,Good,Passives
TCKT122,2024-10-15,2024-09-01 14:00:00,2024-09-12 16:00:00,Charlie,1,10,1,0,-1042.0,-776.0,Poor,Promoters
TCKT123,2024-09-01,2024-10-08 05:00:00,2024-10-22 23:00:00,Eve,1,3,0,0,893.0,1247.0,Poor,Detractors
TCKT124,2024-09-25,2024-09-11 04:00:00,2024-09-07 19:00:00,Eve,4,9,0,1,-332.0,-413.0,Good,Promoters
TCKT125,2024-09-07,2024-09-13 11:00:00,2024-10-08 04:00:00,Bob,3,7,1,0,155.0,748.0,Fair,Passives
TCKT126,2024-09-09,2024-09-03 01:00:00,2024-10-18 04:00:00,David,1,1,1,0,-143.0,940.0,Poor,Detractors
TCKT127,2024-09-24,2024-09-06 18:00:00,2024-09-21 10:00:00,David,2,2,0,1,-414.0,-62.0,Poor,Detractors
TCKT128,2024-09-01,2024-10-26 10:00:00,2024-09-25 22:00:00,Charlie,4,1,1,0,1330.0,598.0,Good,Detractors
TCKT129,2024-10-14,2024-09-05 23:00:00,2024-10-06 05:00:00,Bob,1,9,0,1,-913.0,-187.0,Poor,Promoters
TCKT130,2024-09-08,2024-09-10 12:00:00,2024-10-09 21:00:00,Eve,5,9,1,0,60.0,765.0,Excellent,Promoters
TCKT131,2024-09-24,2024-09-02 13:00:00,2024-10-25 08:00:00,Bob,2,7,1,1,-515.0,752.0,Poor,Passives
TCKT132,2024-09-11,2024-10-10 02:00:00,2024-10-10 21:00:00,Alice,1,10,0,1,698.0,717.0,Poor,Promoters
TCKT133,2024-10-21,2024-09-20 01:00:00,2024-09-11 06:00:00,Charlie,2,3,1,0,-743.0,-954.0,Poor,Detractors
TCKT134,2024-09-17,2024-10-07 09:00:00,2024-10-17 04:00:00,Eve,2,5,0,0,489.0,724.0,Poor,Detractors
TCKT135,2024-09-08,2024-09-17 09:00:00,2024-10-28 13:00:00,David,3,4,0,1,225.0,1213.0,Fair,Detractors
TCKT136,2024-10-05,2024-09-11 15:00:00,2024-09-21 17:00:00,Eve,2,7,0,0,-561.0,-319.0,Poor,Passives
TCKT137,2024-10-05,2024-09-24 06:00:00,2024-10-26 07:00:00,Eve,3,9,0,1,-258.0,511.0,Fair,Promoters
TCKT138,2024-10-03,2024-10-25 03:00:00,2024-09-05 14:00:00,Charlie,4,2,0,0,531.0,-658.0,Good,Detractors
TCKT139,2024-10-29,2024-09-30 17:00:00,2024-09-04 05:00:00,Charlie,3,8,0,0,-679.0,-1315.0,Fair,Passives
TCKT140,2024-09-05,2024-09-05 12:00:00,2024-09-17 23:00:00,Charlie,5,9,1,0,12.0,311.0,Excellent,Promoters
TCKT141,2024-10-12,2024-10-20 14:00:00,2024-10-23 04:00:00,Alice,1,10,0,1,206.0,268.0,Poor,Promoters
TCKT142,2024-10-09,2024-10-23 11:00:00,2024-10-27 02:00:00,David,4,10,1,1,347.0,434.0,Good,Promoters
TCKT143,2024-10-28,2024-09-09 02:00:00,2024-10-01 18:00:00,Alice,4,9,1,1,-1174.0,-630.0,Good,Promoters
TCKT144,2024-10-11,2024-09-12 03:00:00,2024-09-20 19:00:00,Charlie,5,10,0,0,-693.0,-485.0,Excellent,Promoters
TCKT145,2024-09-28,2024-10-05 01:00:00,2024-10-20 14:00:00,Eve,3,7,0,0,169.0,542.0,Fair,Passives
TCKT146,2024-09-07,2024-10-10 22:00:00,2024-09-20 22:00:00,Eve,1,9,0,0,814.0,334.0,Poor,Promoters
TCKT147,2024-09-09,2024-10-30 08:00:00,2024-09-25 13:00:00,Charlie,3,9,1,1,1232.0,397.0,Fair,Promoters
TCKT148,2024-09-08,2024-09-11 09:00:00,2024-09-13 06:00:00,Eve,2,3,0,0,81.0,126.0,Poor,Detractors
TCKT149,2024-09-12,2024-10-07 14:00:00,2024-10-24 04:00:00,Bob,3,4,1,1,614.0,1012.0,Fair,Detractors
TCKT150,2024-10-04,2024-10-30 03:00:00,2024-09-20 16:00:00,Eve,4,2,0,0,627.0,-320.0,Good,Detractors
TCKT151,2024-10-03,2024-09-21 05:00:00,2024-10-16 04:00:00,Alice,1,10,0,0,-283.0,316.0,Poor,Promoters
TCKT152,2024-10-18,2024-09-05 19:00:00,2024-10-01 23:00:00,Alice,3,3,1,1,-1013.0,-385.0,Fair,Detractors
TCKT153,2024-10-25,2024-10-29 14:00:00,2024-10-20 23:00:00,Eve,1,5,0,0,110.0,-97.0,Poor,Detractors
TCKT154,2024-09-23,2024-09-26 04:00:00,2024-10-04 18:00:00,Charlie,1,5,1,0,76.0,282.0,Poor,Detractors
TCKT155,2024-09-24,2024-09-25 13:00:00,2024-10-23 17:00:00,Alice,2,6,1,0,37.0,713.0,Poor,Detractors
TCKT156,2024-10-07,2024-10-12 18:00:00,2024-10-30 15:00:00,David,2,7,1,0,138.0,567.0,Poor,Passives
TCKT157,2024-10-05,2024-10-10 08:00:00,2024-09-12 22:00:00,Charlie,4,7,1,0,128.0,-530.0,Good,Passives
TCKT158,2024-10-14,2024-10-09 08:00:00,2024-10-16 01:00:00,David,5,1,1,1,-112.0,49.0,Excellent,Detractors
TCKT159,2024-10-10,2024-09-14 19:00:00,2024-09-18 06:00:00,Alice,1,2,0,1,-605.0,-522.0,Poor,Detractors
TCKT160,2024-09-22,2024-10-08 01:00:00,2024-09-05 20:00:00,Bob,5,9,0,1,385.0,-388.0,Excellent,Promoters
TCKT161,2024-09-27,2024-09-23 15:00:00,2024-10-19 15:00:00,David,4,10,0,0,-81.0,543.0,Good,Promoters
TCKT162,2024-10-05,2024-10-03 17:00:00,2024-09-28 15:00:00,Alice,1,2,1,1,-31.0,-153.0,Poor,Detractors
TCKT163,2024-09-01,2024-10-03 15:00:00,2024-09-07 15:00:00,David,1,6,0,0,783.0,159.0,Poor,Detractors
TCKT164,2024-10-05,2024-10-25 02:00:00,2024-09-15 11:00:00,Bob,5,1,1,1,482.0,-469.0,Excellent,Detractors
TCKT165,2024-10-07,2024-09-14 21:00:00,2024-10-10 09:00:00,Alice,3,3,0,0,-531.0,81.0,Fair,Detractors
TCKT166,2024-10-17,2024-10-10 08:00:00,2024-09-27 16:00:00,Charlie,2,2,1,1,-160.0,-464.0,Poor,Detractors
TCKT167,2024-09-14,2024-10-21 07:00:00,2024-09-06 20:00:00,Alice,3,3,0,0,895.0,-172.0,Fair,Detractors
TCKT168,2024-09-03,2024-10-21 06:00:00,2024-09-11 18:00:00,Eve,5,5,0,1,1158.0,210.0,Excellent,Detractors
TCKT169,2024-09-01,2024-09-06 03:00:00,2024-09-04 13:00:00,Alice,2,10,1,1,123.0,85.0,Poor,Promoters
TCKT170,2024-09-05,2024-09-07 19:00:00,2024-10-14 17:00:00,Charlie,3,6,0,0,67.0,953.0,Fair,Detractors
TCKT171,2024-09-26,2024-09-08 10:00:00,2024-10-01 22:00:00,David,2,9,0,1,-422.0,142.0,Poor,Promoters
TCKT172,2024-10-25,2024-10-22 15:00:00,2024-10-16 06:00:00,Alice,1,10,0,1,-57.0,-210.0,Poor,Promoters
TCKT173,2024-09-14,2024-10-17 01:00:00,2024-09-18 13:00:00,Alice,3,4,0,0,793.0,109.0,Fair,Detractors
TCKT174,2024-10-09,2024-10-22 07:00:00,2024-10-22 21:00:00,Charlie,2,7,0,0,319.0,333.0,Poor,Passives
TCKT175,2024-09-27,2024-09-27 04:00:00,2024-09-20 10:00:00,Alice,2,6,1,0,4.0,-158.0,Poor,Detractors
TCKT176,2024-09-09,2024-09-29 06:00:00,2024-10-06 14:00:00,Eve,2,2,1,0,486.0,662.0,Poor,Detractors
TCKT177,2024-09-15,2024-10-27 01:00:00,2024-09-27 19:00:00,Charlie,3,10,0,0,1009.0,307.0,Fair,Promoters
TCKT178,2024-09-15,2024-10-07 23:00:00,2024-09-06 05:00:00,David,4,8,1,0,551.0,-211.0,Good,Passives
TCKT179,2024-09-26,2024-10-03 04:00:00,2024-09-21 17:00:00,Alice,3,7,1,1,172.0,-103.0,Fair,Passives
TCKT180,2024-10-12,2024-09-22 02:00:00,2024-09-22 10:00:00,Bob,5,7,1,1,-478.0,-470.0,Excellent,Passives
TCKT181,2024-10-30,2024-09-10 05:00:00,2024-09-06 04:00:00,Eve,3,8,0,0,-1195.0,-1292.0,Fair,Passives
TCKT182,2024-09-13,2024-10-29 10:00:00,2024-09-07 04:00:00,Bob,2,1,0,1,1114.0,-140.0,Poor,Detractors
TCKT183,2024-10-21,2024-10-03 22:00:00,2024-10-10 07:00:00,Bob,1,1,0,0,-410.0,-257.0,Poor,Detractors
TCKT184,2024-10-02,2024-10-08 13:00:00,2024-10-21 03:00:00,Charlie,3,8,0,0,157.0,459.0,Fair,Passives
TCKT185,2024-10-09,2024-10-01 15:00:00,2024-09-02 04:00:00,Charlie,3,4,1,0,-177.0,-884.0,Fair,Detractors
TCKT186,2024-10-19,2024-10-06 13:00:00,2024-09-07 09:00:00,David,2,5,0,0,-299.0,-999.0,Poor,Detractors
TCKT187,2024-10-22,2024-09-24 20:00:00,2024-10-25 14:00:00,Charlie,1,8,0,1,-652.0,86.0,Poor,Passives
TCKT188,2024-10-02,2024-10-26 15:00:00,2024-10-15 20:00:00,Bob,1,5,0,0,591.0,332.0,Poor,Detractors
TCKT189,2024-09-04,2024-09-29 08:00:00,2024-09-25 04:00:00,Charlie,5,10,0,0,608.0,508.0,Excellent,Promoters
TCKT190,2024-09-30,2024-09-05 15:00:00,2024-09-22 12:00:00,Charlie,3,4,0,0,-585.0,-180.0,Fair,Detractors
TCKT191,2024-10-07,2024-09-04 12:00:00,2024-10-13 22:00:00,Bob,1,6,1,0,-780.0,166.0,Poor,Detractors
TCKT192,2024-09-23,2024-10-15 02:00:00,2024-09-29 07:00:00,Bob,1,5,0,0,530.0,151.0,Poor,Detractors
TCKT193,2024-10-09,2024-09-27 19:00:00,2024-10-06 23:00:00,Alice,4,7,0,0,-269.0,-49.0,Good,Passives
TCKT194,2024-10-15,2024-10-21 04:00:00,2024-09-29 14:00:00,Charlie,4,10,1,1,148.0,-370.0,Good,Promoters
TCKT195,2024-09-15,2024-10-06 11:00:00,2024-10-27 10:00:00,Charlie,1,7,0,1,515.0,1018.0,Poor,Passives
TCKT196,2024-10-13,2024-09-27 05:00:00,2024-09-17 16:00:00,Charlie,5,4,1,0,-379.0,-608.0,Excellent,Detractors
TCKT197,2024-09-29,2024-09-20 11:00:00,2024-10-25 10:00:00,Charlie,1,5,0,1,-205.0,634.0,Poor,Detractors
TCKT198,2024-10-06,2024-09-10 08:00:00,2024-09-26 13:00:00,David,2,3,0,0,-616.0,-227.0,Poor,Detractors
TCKT199,2024-09-13,2024-10-08 06:00:00,2024-09-07 12:00:00,Bob,3,4,1,0,606.0,-132.0,Fair,Detractors
TCKT200,2024-10-02,2024-09-08 23:00:00,2024-09-10 13:00:00,Charlie,5,4,0,1,-553.0,-515.0,Excellent,Detractors
